checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
1 - 200 DM,24.0,good,furniture/appliances,2039.0,< 100 DM,< 1 year,1.0,1.0,,none,own,1.0,skilled,1.0,yes,yes
unknown,24.0,critical,car,2197.0,unknown,4 - 7 years,4.0,4.0,43.0,none,own,2.0,skilled,2.0,yes,no
< 0 DM,15.0,good,furniture/appliances,1053.0,< 100 DM,< 1 year,4.0,2.0,27.0,none,own,1.0,skilled,1.0,no,no
unknown,24.0,good,furniture/appliances,3235.0,500 - 1000 DM,,3.0,2.0,26.0,none,own,1.0,management,1.0,yes,no
> 200 DM,12.0,,car,939.0,500 - 1000 DM,4 - 7 years,4.0,2.0,28.0,none,own,3.0,skilled,1.0,yes,yes
1 - 200 DM,24.0,good,furniture/appliances,1967.0,< 100 DM,> 7 years,4.0,4.0,20.0,none,own,1.0,skilled,1.0,yes,no
,33.0,critical,car,7253.0,< 100 DM,4 - 7 years,3.0,2.0,35.0,none,own,2.0,management,1.0,yes,no
unknown,12.0,critical,business,2292.0,< 100 DM,unemployed,4.0,2.0,42.0,store,own,2.0,management,1.0,yes,yes
unknown,10.0,good,car,1597.0,,1 - 4 years,3.0,2.0,40.0,none,rent,1.0,unskilled,2.0,no,no
< 0 DM,24.0,good,car,,unknown,1 - 4 years,4.0,2.0,35.0,none,own,1.0,skilled,1.0,no,yes
unknown,36.0,critical,car,5842.0,< 100 DM,> 7 years,2.0,2.0,35.0,none,own,2.0,skilled,2.0,yes,no
< 0 DM,12.0,good,car,2579.0,< 100 DM,< 1 year,4.0,1.0,33.0,none,own,1.0,unskilled,2.0,no,yes
< 0 DM,18.0,poor,education,8471.0,unknown,1 - 4 years,1.0,2.0,23.0,none,rent,2.0,skilled,1.0,yes,no
unknown,21.0,good,car,2782.0,500 - 1000 DM,4 - 7 years,1.0,2.0,31.0,,own,1.0,management,1.0,no,no
1 - 200 DM,18.0,good,car,1042.0,unknown,1 - 4 years,4.0,2.0,33.0,none,own,1.0,skilled,1.0,no,yes
unknown,15.0,good,car,3186.0,> 1000 DM,4 - 7 years,2.0,3.0,20.0,none,rent,1.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,car,2028.0,unknown,1 - 4 years,4.0,2.0,30.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,12.0,critical,car,958.0,< 100 DM,4 - 7 years,2.0,3.0,47.0,none,own,2.0,unskilled,2.0,no,no
unknown,21.0,poor,furniture/appliances,1591.0,100 - 500 DM,4 - 7 years,4.0,3.0,34.0,none,own,2.0,management,1.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,2762.0,unknown,> 7 years,1.0,2.0,25.0,bank,own,1.0,skilled,1.0,yes,yes
1 - 200 DM,18.0,good,car,2779.0,< 100 DM,1 - 4 years,1.0,3.0,21.0,none,rent,1.0,skilled,1.0,yes,no
unknown,28.0,critical,furniture/appliances,2743.0,< 100 DM,> 7 years,4.0,2.0,29.0,none,own,2.0,skilled,1.0,no,no
unknown,18.0,critical,furniture/appliances,1149.0,> 1000 DM,1 - 4 years,4.0,3.0,46.0,none,own,2.0,skilled,1.0,no,no
unknown,9.0,good,furniture/appliances,,< 100 DM,> 7 years,1.0,4.0,20.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,18.0,critical,renovations,1190.0,< 100 DM,unemployed,2.0,4.0,55.0,none,other,3.0,unemployed,2.0,no,yes
unknown,5.0,good,business,3448.0,< 100 DM,4 - 7 years,1.0,4.0,74.0,none,own,1.0,unskilled,1.0,no,no
1 - 200 DM,24.0,good,car0,11328.0,< 100 DM,1 - 4 years,2.0,3.0,29.0,bank,own,2.0,management,1.0,yes,yes
< 0 DM,6.0,critical,furniture/appliances,1872.0,< 100 DM,unemployed,4.0,4.0,36.0,none,other,3.0,management,1.0,yes,no
unknown,24.0,critical,renovations,2058.0,< 100 DM,,4.0,2.0,33.0,none,own,2.0,skilled,1.0,yes,no
< 0 DM,9.0,good,furniture/appliances,2136.0,< 100 DM,1 - 4 years,3.0,,25.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,1484.0,unknown,1 - 4 years,2.0,1.0,25.0,none,own,1.0,skilled,1.0,yes,yes
unknown,6.0,good,renovations,660.0,500 - 1000 DM,4 - 7 years,2.0,4.0,23.0,none,rent,1.0,unskilled,1.0,no,no
unknown,24.0,critical,car,1287.0,> 1000 DM,> 7 years,4.0,4.0,37.0,none,own,2.0,skilled,,yes,no
< 0 DM,42.0,critical,renovations,3394.0,< 100 DM,unemployed,4.0,4.0,65.0,none,own,2.0,unemployed,1.0,no,no
> 200 DM,12.0,very good,business,609.0,< 100 DM,< 1 year,4.0,1.0,26.0,none,own,1.0,unemployed,1.0,no,yes
unknown,12.0,good,car,1884.0,,> 7 years,4.0,4.0,39.0,none,own,1.0,management,1.0,yes,no
< 0 DM,12.0,good,furniture/appliances,1620.0,,1 - 4 years,2.0,3.0,30.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,20.0,poor,car0,2629.0,< 100 DM,1 - 4 years,2.0,3.0,29.0,bank,own,2.0,skilled,1.0,yes,no
unknown,12.0,good,education,719.0,< 100 DM,> 7 years,4.0,4.0,41.0,bank,own,1.0,unskilled,2.0,no,yes
1 - 200 DM,48.0,critical,furniture/appliances,5096.0,< 100 DM,1 - 4 years,2.0,3.0,30.0,none,own,1.0,management,1.0,yes,yes
unknown,9.0,critical,education,1244.0,unknown,> 7 years,4.0,4.0,41.0,none,rent,2.0,unskilled,1.0,no,no
< 0 DM,36.0,good,car,,< 100 DM,< 1 year,4.0,4.0,34.0,none,own,1.0,skilled,1.0,yes,yes
1 - 200 DM,7.0,good,furniture/appliances,2576.0,< 100 DM,1 - 4 years,2.0,2.0,35.0,none,own,1.0,skilled,1.0,no,no
> 200 DM,12.0,good,furniture/appliances,1424.0,unknown,> 7 years,3.0,4.0,55.0,none,own,1.0,management,1.0,yes,no
1 - 200 DM,15.0,poor,renovations,1512.0,> 1000 DM,1 - 4 years,3.0,3.0,61.0,store,own,2.0,skilled,1.0,no,yes
unknown,36.0,critical,car,11054.0,unknown,1 - 4 years,4.0,2.0,30.0,none,own,1.0,management,1.0,yes,no
unknown,6.0,good,furniture/appliances,518.0,< 100 DM,1 - 4 years,3.0,1.0,29.0,none,own,1.0,skilled,,no,no
unknown,12.0,perfect,furniture/appliances,2759.0,< 100 DM,> 7 years,2.0,4.0,34.0,none,own,2.0,skilled,1.0,no,no
unknown,24.0,good,car,2670.0,< 100 DM,> 7 years,4.0,4.0,35.0,none,own,1.0,management,1.0,yes,no
< 0 DM,24.0,good,car,4817.0,< 100 DM,4 - 7 years,2.0,3.0,31.0,none,own,1.0,skilled,1.0,yes,yes
unknown,24.0,good,car,2679.0,< 100 DM,< 1 year,4.0,1.0,29.0,none,own,1.0,management,1.0,yes,no
< 0 DM,11.0,critical,car,3905.0,< 100 DM,1 - 4 years,2.0,2.0,36.0,none,rent,2.0,skilled,2.0,no,no
< 0 DM,12.0,good,car,3386.0,< 100 DM,> 7 years,3.0,4.0,35.0,none,other,1.0,skilled,1.0,yes,yes
< 0 DM,6.0,good,furniture/appliances,343.0,,< 1 year,4.0,1.0,27.0,none,own,1.0,skilled,1.0,no,no
unknown,18.0,good,furniture/appliances,4594.0,< 100 DM,< 1 year,3.0,2.0,32.0,none,own,1.0,skilled,1.0,yes,no
< 0 DM,36.0,good,furniture/appliances,3620.0,,1 - 4 years,1.0,2.0,37.0,none,own,1.0,skilled,2.0,no,no
< 0 DM,15.0,good,car,1721.0,< 100 DM,< 1 year,2.0,3.0,36.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,3017.0,< 100 DM,< 1 year,3.0,1.0,34.0,none,rent,1.0,management,1.0,no,no
1 - 200 DM,12.0,good,education,754.0,unknown,> 7 years,4.0,4.0,38.0,none,own,2.0,skilled,1.0,no,no
unknown,18.0,good,business,1950.0,< 100 DM,4 - 7 years,4.0,1.0,34.0,store,own,2.0,skilled,1.0,yes,no
< 0 DM,24.0,good,car,2924.0,< 100 DM,1 - 4 years,3.0,4.0,63.0,bank,own,1.0,skilled,2.0,yes,no
< 0 DM,24.0,poor,furniture/appliances,1659.0,< 100 DM,< 1 year,4.0,2.0,29.0,none,rent,1.0,unskilled,1.0,yes,yes
unknown,48.0,poor,furniture/appliances,7238.0,unknown,> 7 years,3.0,3.0,32.0,bank,own,2.0,,2.0,no,no
unknown,33.0,,business,2764.0,< 100 DM,1 - 4 years,2.0,2.0,26.0,none,own,2.0,skilled,1.0,yes,no
unknown,24.0,poor,car,4679.0,< 100 DM,,3.0,3.0,35.0,none,own,2.0,unskilled,1.0,yes,no
1 - 200 DM,24.0,good,furniture/appliances,3092.0,100 - 500 DM,< 1 year,3.0,2.0,22.0,none,rent,1.0,skilled,1.0,yes,yes
< 0 DM,6.0,good,,448.0,< 100 DM,< 1 year,4.0,4.0,23.0,none,own,1.0,skilled,1.0,no,yes
< 0 DM,9.0,good,car,654.0,< 100 DM,1 - 4 years,4.0,3.0,28.0,none,own,1.0,unskilled,1.0,no,yes
unknown,6.0,good,education,1238.0,unknown,unemployed,4.0,4.0,36.0,,own,1.0,management,2.0,yes,no
1 - 200 DM,18.0,critical,furniture/appliances,1245.0,< 100 DM,1 - 4 years,4.0,2.0,33.0,none,own,1.0,skilled,,no,yes
< 0 DM,18.0,perfect,furniture/appliances,3114.0,< 100 DM,< 1 year,,4.0,26.0,none,rent,1.0,skilled,1.0,,yes
unknown,39.0,good,car,2569.0,500 - 1000 DM,1 - 4 years,4.0,4.0,24.0,none,own,1.0,skilled,1.0,no,no
> 200 DM,24.0,good,furniture/appliances,5152.0,< 100 DM,4 - 7 years,4.0,2.0,25.0,bank,own,1.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,business,1037.0,100 - 500 DM,4 - 7 years,3.0,4.0,39.0,none,own,1.0,unskilled,1.0,no,no
< 0 DM,15.0,critical,furniture/appliances,1478.0,< 100 DM,> 7 years,4.0,4.0,44.0,none,own,2.0,skilled,2.0,yes,no
1 - 200 DM,12.0,critical,furniture/appliances,3573.0,< 100 DM,1 - 4 years,1.0,1.0,23.0,none,own,1.0,unskilled,,no,no
1 - 200 DM,24.0,good,car,1201.0,< 100 DM,< 1 year,4.0,1.0,26.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,30.0,good,furniture/appliances,3622.0,> 1000 DM,> 7 years,4.0,4.0,57.0,none,rent,2.0,skilled,1.0,yes,no
unknown,15.0,poor,furniture/appliances,960.0,> 1000 DM,4 - 7 years,3.0,2.0,30.0,none,own,2.0,skilled,1.0,no,no
unknown,12.0,critical,car,1163.0,500 - 1000 DM,1 - 4 years,4.0,4.0,44.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,,poor,car,1209.0,< 100 DM,unemployed,4.0,4.0,47.0,none,own,1.0,management,,yes,yes
unknown,12.0,good,furniture/appliances,3077.0,< 100 DM,1 - 4 years,2.0,4.0,52.0,none,own,1.0,skilled,1.0,yes,no
unknown,24.0,good,car,3757.0,< 100 DM,> 7 years,4.0,4.0,62.0,none,other,1.0,skilled,1.0,yes,no
unknown,10.0,good,car,1418.0,100 - 500 DM,1 - 4 years,3.0,2.0,35.0,none,rent,1.0,unskilled,1.0,no,no
unknown,6.0,good,car,3518.0,< 100 DM,1 - 4 years,2.0,3.0,26.0,none,rent,1.0,skilled,1.0,no,no
unknown,12.0,critical,furniture/appliances,1934.0,< 100 DM,> 7 years,2.0,2.0,26.0,none,own,2.0,skilled,1.0,no,no
1 - 200 DM,27.0,perfect,business,8318.0,< 100 DM,> 7 years,2.0,4.0,42.0,none,other,2.0,management,1.0,yes,yes
unknown,6.0,critical,furniture/appliances,1237.0,100 - 500 DM,,1.0,1.0,27.0,none,own,2.0,skilled,1.0,no,no
1 - 200 DM,6.0,good,furniture/appliances,368.0,unknown,> 7 years,4.0,4.0,38.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,12.0,critical,car,2122.0,< 100 DM,1 - 4 years,3.0,2.0,39.0,none,rent,2.0,unskilled,2.0,no,no
< 0 DM,24.0,good,furniture/appliances,2996.0,unknown,1 - 4 years,2.0,4.0,20.0,none,,1.0,skilled,1.0,no,yes
1 - 200 DM,36.0,good,furniture/appliances,9034.0,100 - 500 DM,< 1 year,4.0,1.0,29.0,none,rent,1.0,management,1.0,yes,yes
unknown,24.0,critical,furniture/appliances,1585.0,< 100 DM,4 - 7 years,4.0,3.0,40.0,none,own,2.0,skilled,1.0,no,no
1 - 200 DM,18.0,good,furniture/appliances,1301.0,< 100 DM,> 7 years,4.0,2.0,32.0,none,own,1.0,unskilled,1.0,no,no
> 200 DM,6.0,critical,car,1323.0,100 - 500 DM,> 7 years,2.0,4.0,28.0,none,own,2.0,skilled,2.0,yes,no
< 0 DM,24.0,good,car,3123.0,< 100 DM,< 1 year,4.0,1.0,27.0,none,own,1.0,skilled,1.0,no,yes
< 0 DM,36.0,good,car,5493.0,< 100 DM,> 7 years,2.0,4.0,42.0,none,other,1.0,skilled,2.0,no,no
> 200 DM,9.0,good,furniture/appliances,1126.0,100 - 500 DM,> 7 years,2.0,4.0,49.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,24.0,critical,furniture/appliances,1216.0,100 - 500 DM,< 1 year,4.0,4.0,38.0,bank,own,2.0,skilled,2.0,no,yes
< 0 DM,24.0,good,car,1207.0,< 100 DM,< 1 year,4.0,4.0,24.0,none,rent,1.0,skilled,1.0,no,yes
unknown,10.0,,car,1309.0,unknown,1 - 4 years,4.0,4.0,27.0,none,own,,unskilled,1.0,no,yes
> 200 DM,15.0,critical,car,2360.0,500 - 1000 DM,1 - 4 years,2.0,2.0,36.0,,own,1.0,skilled,1.0,yes,no
1 - 200 DM,15.0,very good,car,6850.0,100 - 500 DM,unemployed,1.0,2.0,34.0,none,own,1.0,management,2.0,yes,yes
unknown,24.0,good,furniture/appliances,1413.0,< 100 DM,1 - 4 years,4.0,2.0,28.0,none,own,1.0,skilled,1.0,no,no
unknown,39.0,good,car,8588.0,100 - 500 DM,> 7 years,4.0,2.0,45.0,none,own,1.0,management,1.0,yes,
< 0 DM,12.0,good,car,759.0,< 100 DM,4 - 7 years,4.0,2.0,26.0,none,own,1.0,skilled,1.0,no,yes
unknown,36.0,good,car,4686.0,< 100 DM,1 - 4 years,2.0,2.0,32.0,none,other,1.0,management,1.0,yes,no
> 200 DM,15.0,good,business,2687.0,< 100 DM,4 - 7 years,2.0,4.0,26.0,none,rent,1.0,skilled,1.0,yes,no
,12.0,poor,furniture/appliances,585.0,< 100 DM,1 - 4 years,4.0,4.0,20.0,none,rent,2.0,skilled,1.0,,no
unknown,,good,car,2255.0,unknown,< 1 year,4.0,1.0,54.0,,own,1.0,skilled,1.0,no,no
< 0 DM,6.0,critical,car,609.0,< 100 DM,4 - 7 years,4.0,3.0,,none,own,2.0,skilled,1.0,no,no
< 0 DM,6.0,critical,car,1361.0,< 100 DM,< 1 year,2.0,4.0,40.0,none,own,1.0,unskilled,2.0,no,no
unknown,36.0,critical,furniture/appliances,7127.0,< 100 DM,< 1 year,2.0,4.0,23.0,none,rent,2.0,skilled,1.0,yes,yes
< 0 DM,6.0,good,car,1203.0,100 - 500 DM,> 7 years,3.0,2.0,,none,own,1.0,skilled,1.0,yes,no
unknown,6.0,critical,furniture/appliances,700.0,,> 7 years,4.0,4.0,36.0,none,other,2.0,skilled,1.0,no,no
unknown,24.0,critical,renovations,5507.0,< 100 DM,> 7 years,3.0,4.0,44.0,none,other,2.0,skilled,,no,no
,18.0,good,furniture/appliances,3190.0,< 100 DM,1 - 4 years,2.0,2.0,24.0,none,own,1.0,skilled,1.0,no,yes
< 0 DM,48.0,perfect,furniture/appliances,7119.0,< 100 DM,1 - 4 years,3.0,4.0,,none,,2.0,skilled,2.0,no,yes
unknown,24.0,good,car,3488.0,100 - 500 DM,4 - 7 years,3.0,4.0,23.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,18.0,good,furniture/appliances,1113.0,< 100 DM,1 - 4 years,4.0,4.0,26.0,none,own,1.0,unskilled,2.0,no,no
1 - 200 DM,26.0,good,car,7966.0,< 100 DM,< 1 year,2.0,3.0,30.0,none,own,2.0,skilled,1.0,no,no
unknown,15.0,critical,education,1532.0,100 - 500 DM,,4.0,3.0,31.0,none,own,1.0,skilled,1.0,,no
,4.0,critical,,1503.0,< 100 DM,4 - 7 years,2.0,1.0,42.0,none,own,2.0,unskilled,2.0,no,no
< 0 DM,36.0,good,furniture/appliances,2302.0,< 100 DM,1 - 4 years,4.0,4.0,31.0,none,rent,1.0,skilled,1.0,no,yes
< 0 DM,6.0,good,car,662.0,< 100 DM,< 1 year,3.0,4.0,41.0,none,own,1.0,unskilled,2.0,yes,no
1 - 200 DM,36.0,good,education,2273.0,< 100 DM,4 - 7 years,3.0,1.0,32.0,none,own,2.0,skilled,2.0,no,no
1 - 200 DM,15.0,good,car,2631.0,100 - 500 DM,1 - 4 years,2.0,4.0,28.0,none,rent,2.0,,1.0,yes,yes
unknown,12.0,poor,car,1503.0,< 100 DM,1 - 4 years,4.0,4.0,41.0,none,rent,1.0,skilled,1.0,no,no
unknown,24.0,good,furniture/appliances,1311.0,100 - 500 DM,4 - 7 years,4.0,3.0,26.0,none,own,1.0,skilled,1.0,,no
unknown,24.0,good,furniture/appliances,3105.0,unknown,< 1 year,4.0,2.0,25.0,none,own,2.0,skilled,1.0,no,no
> 200 DM,21.0,critical,education,2319.0,,< 1 year,2.0,1.0,33.0,none,rent,1.0,skilled,1.0,no,yes
< 0 DM,6.0,good,car,1374.0,unknown,unemployed,4.0,3.0,75.0,none,own,1.0,management,1.0,yes,no
1 - 200 DM,18.0,critical,furniture/appliances,3612.0,< 100 DM,> 7 years,3.0,4.0,37.0,none,own,1.0,skilled,1.0,yes,no
< 0 DM,48.0,good,car,7763.0,< 100 DM,> 7 years,4.0,4.0,42.0,bank,other,1.0,management,1.0,no,yes
> 200 DM,18.0,good,furniture/appliances,3049.0,< 100 DM,< 1 year,1.0,1.0,45.0,store,own,1.0,unskilled,1.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,1534.0,< 100 DM,< 1 year,1.0,1.0,23.0,none,rent,1.0,skilled,1.0,no,yes
unknown,24.0,poor,car,2032.0,< 100 DM,> 7 years,4.0,4.0,60.0,none,other,2.0,skilled,1.0,,no
< 0 DM,30.0,good,furniture/appliances,6350.0,unknown,> 7 years,4.0,4.0,31.0,none,own,1.0,skilled,1.0,no,yes
> 200 DM,18.0,good,furniture/appliances,2864.0,< 100 DM,1 - 4 years,2.0,1.0,34.0,none,own,1.0,unskilled,2.0,no,yes
unknown,12.0,critical,car,1255.0,< 100 DM,> 7 years,4.0,4.0,61.0,none,own,2.0,unskilled,1.0,no,no
< 0 DM,24.0,poor,car,1333.0,< 100 DM,unemployed,4.0,,43.0,none,,2.0,skilled,2.0,no,yes
unknown,24.0,critical,car,2022.0,< 100 DM,1 - 4 years,4.0,4.0,37.0,none,own,1.0,skilled,1.0,yes,no
unknown,24.0,good,furniture/appliances,1552.0,< 100 DM,4 - 7 years,,1.0,32.0,bank,own,1.0,skilled,2.0,no,no
< 0 DM,12.0,very good,furniture/appliances,626.0,< 100 DM,,4.0,4.0,24.0,bank,own,1.0,unskilled,1.0,no,yes
,48.0,critical,car,8858.0,unknown,4 - 7 years,2.0,1.0,35.0,none,other,2.0,skilled,1.0,yes,no
unknown,,critical,renovations,996.0,unknown,4 - 7 years,4.0,4.0,23.0,,own,2.0,skilled,1.0,no,no
unknown,6.0,very good,furniture/appliances,1750.0,500 - 1000 DM,> 7 years,2.0,4.0,45.0,bank,own,1.0,unskilled,2.0,no,no
< 0 DM,48.0,good,furniture/appliances,6999.0,< 100 DM,4 - 7 years,1.0,1.0,34.0,none,own,2.0,skilled,1.0,yes,yes
1 - 200 DM,12.0,critical,car,1995.0,100 - 500 DM,< 1 year,4.0,1.0,27.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,9.0,good,education,1199.0,< 100 DM,4 - 7 years,4.0,4.0,67.0,none,own,2.0,management,1.0,yes,no
1 - 200 DM,12.0,good,,1331.0,< 100 DM,< 1 year,2.0,1.0,22.0,store,,1.0,skilled,1.0,no,yes
1 - 200 DM,18.0,perfect,car,2278.0,100 - 500 DM,< 1 year,3.0,3.0,28.0,none,own,2.0,skilled,1.0,no,yes
unknown,21.0,perfect,car,5003.0,unknown,1 - 4 years,1.0,4.0,29.0,bank,own,2.0,,1.0,yes,yes
< 0 DM,,very good,furniture/appliances,3552.0,< 100 DM,4 - 7 years,3.0,4.0,27.0,bank,,1.0,skilled,1.0,no,yes
1 - 200 DM,18.0,critical,furniture/appliances,1928.0,< 100 DM,< 1 year,2.0,2.0,31.0,none,own,2.0,unskilled,1.0,no,yes
< 0 DM,24.0,good,car,2964.0,unknown,> 7 years,4.0,4.0,49.0,,other,1.0,skilled,2.0,yes,no
< 0 DM,24.0,very good,furniture/appliances,1546.0,< 100 DM,4 - 7 years,4.0,4.0,24.0,bank,rent,1.0,unskilled,,no,yes
> 200 DM,6.0,poor,furniture/appliances,683.0,< 100 DM,< 1 year,2.0,1.0,29.0,bank,own,1.0,skilled,1.0,no,no
1 - 200 DM,36.0,good,car,12389.0,unknown,1 - 4 years,1.0,4.0,37.0,none,other,1.0,skilled,1.0,yes,yes
1 - 200 DM,24.0,,business,4712.0,unknown,1 - 4 years,4.0,2.0,37.0,bank,own,2.0,management,1.0,yes,no
1 - 200 DM,24.0,poor,furniture/appliances,1553.0,100 - 500 DM,4 - 7 years,3.0,2.0,23.0,none,rent,2.0,skilled,1.0,yes,no
< 0 DM,12.0,good,car,1372.0,< 100 DM,4 - 7 years,2.0,3.0,36.0,none,own,1.0,skilled,1.0,no,yes
unknown,24.0,critical,furniture/appliances,2578.0,> 1000 DM,> 7 years,,2.0,34.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,48.0,good,furniture/appliances,3979.0,unknown,4 - 7 years,4.0,1.0,41.0,none,own,2.0,skilled,2.0,yes,no
< 0 DM,48.0,good,furniture/appliances,6758.0,< 100 DM,1 - 4 years,3.0,2.0,31.0,none,own,1.0,skilled,1.0,yes,yes
< 0 DM,24.0,good,furniture/appliances,3234.0,< 100 DM,< 1 year,4.0,4.0,23.0,none,rent,,unskilled,1.0,yes,yes
unknown,30.0,critical,furniture/appliances,5954.0,< 100 DM,4 - 7 years,3.0,2.0,38.0,none,own,1.0,skilled,1.0,no,no
,24.0,good,car,5433.0,unknown,unemployed,2.0,4.0,26.0,none,rent,1.0,management,1.0,yes,no
< 0 DM,15.0,good,business,806.0,< 100 DM,1 - 4 years,4.0,4.0,22.0,none,own,1.0,unskilled,1.0,no,no
1 - 200 DM,9.0,good,furniture/appliances,1082.0,< 100 DM,> 7 years,4.0,4.0,27.0,none,own,2.0,unskilled,1.0,no,no
unknown,15.0,critical,furniture/appliances,2788.0,< 100 DM,4 - 7 years,2.0,3.0,24.0,bank,own,2.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,2930.0,< 100 DM,4 - 7 years,2.0,1.0,27.0,none,own,1.0,skilled,1.0,no,no
unknown,24.0,critical,education,1927.0,unknown,1 - 4 years,3.0,2.0,33.0,none,own,2.0,skilled,1.0,yes,no
1 - 200 DM,36.0,critical,car,,< 100 DM,< 1 year,4.0,4.0,27.0,none,own,2.0,skilled,1.0,no,yes
unknown,24.0,good,education,937.0,< 100 DM,< 1 year,4.0,3.0,27.0,none,own,2.0,unskilled,1.0,no,no
1 - 200 DM,18.0,critical,car,1056.0,< 100 DM,> 7 years,3.0,3.0,30.0,bank,own,2.0,skilled,1.0,no,yes
1 - 200 DM,12.0,critical,car,3124.0,< 100 DM,< 1 year,1.0,3.0,49.0,bank,own,2.0,unskilled,2.0,no,no
unknown,9.0,good,furniture/appliances,1388.0,< 100 DM,1 - 4 years,4.0,2.0,26.0,none,rent,1.0,skilled,1.0,no,no
1 - 200 DM,36.0,good,renovations,2384.0,< 100 DM,< 1 year,4.0,1.0,33.0,none,rent,1.0,unskilled,1.0,no,yes
unknown,12.0,good,car,2133.0,unknown,> 7 years,4.0,4.0,52.0,none,other,1.0,management,1.0,yes,no
< 0 DM,18.0,good,furniture/appliances,2039.0,< 100 DM,1 - 4 years,1.0,4.0,20.0,bank,rent,1.0,skilled,1.0,no,yes
< 0 DM,9.0,,,2799.0,< 100 DM,1 - 4 years,2.0,2.0,36.0,none,rent,2.0,skilled,2.0,no,no
< 0 DM,12.0,good,furniture/appliances,1289.0,< 100 DM,1 - 4 years,4.0,1.0,21.0,none,own,1.0,unskilled,1.0,no,no
< 0 DM,18.0,good,furniture/appliances,1217.0,< 100 DM,1 - 4 years,4.0,3.0,47.0,none,own,1.0,unskilled,,yes,yes
< 0 DM,12.0,critical,furniture/appliances,2246.0,< 100 DM,> 7 years,3.0,,60.0,none,own,2.0,skilled,1.0,no,yes
< 0 DM,12.0,critical,furniture/appliances,385.0,< 100 DM,4 - 7 years,4.0,3.0,58.0,none,own,4.0,unskilled,1.0,yes,no
1 - 200 DM,24.0,poor,car,1965.0,unknown,1 - 4 years,4.0,4.0,42.0,none,rent,2.0,skilled,1.0,yes,no
unknown,21.0,good,business,1572.0,> 1000 DM,> 7 years,4.0,4.0,36.0,bank,own,1.0,unskilled,1.0,no,no
1 - 200 DM,24.0,good,car,2718.0,< 100 DM,1 - 4 years,3.0,4.0,20.0,none,rent,1.0,unskilled,1.0,yes,yes
< 0 DM,24.0,very good,,1358.0,unknown,> 7 years,4.0,3.0,40.0,store,own,1.0,management,1.0,yes,yes
1 - 200 DM,6.0,very good,car,931.0,100 - 500 DM,< 1 year,1.0,1.0,32.0,store,own,1.0,unskilled,1.0,no,yes
< 0 DM,24.0,good,car,1442.0,< 100 DM,4 - 7 years,4.0,4.0,23.0,,,2.0,skilled,1.0,no,yes
1 - 200 DM,24.0,perfect,business,4241.0,< 100 DM,1 - 4 years,1.0,4.0,36.0,none,own,3.0,unskilled,1.0,yes,yes
unknown,18.0,critical,car,2775.0,< 100 DM,4 - 7 years,2.0,2.0,31.0,bank,own,2.0,skilled,1.0,no,yes
unknown,24.0,poor,business,3863.0,< 100 DM,1 - 4 years,,2.0,32.0,none,other,1.0,skilled,1.0,no,no
1 - 200 DM,7.0,good,furniture/appliances,2329.0,< 100 DM,< 1 year,1.0,,45.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,9.0,good,furniture/appliances,918.0,< 100 DM,1 - 4 years,4.0,1.0,30.0,none,own,1.0,skilled,1.0,no,yes
1 - 200 DM,24.0,,education,1837.0,< 100 DM,4 - 7 years,4.0,4.0,34.0,bank,other,1.0,unskilled,1.0,no,yes
unknown,36.0,,furniture/appliances,3349.0,< 100 DM,1 - 4 years,4.0,2.0,28.0,none,own,1.0,management,1.0,yes,yes
> 200 DM,10.0,good,furniture/appliances,1275.0,< 100 DM,< 1 year,4.0,2.0,23.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,24.0,very good,furniture/appliances,2828.0,500 - 1000 DM,1 - 4 years,4.0,4.0,22.0,store,own,1.0,skilled,1.0,yes,no
unknown,24.0,critical,business,4526.0,< 100 DM,1 - 4 years,3.0,2.0,74.0,none,own,1.0,management,1.0,yes,no
1 - 200 DM,36.0,good,furniture/appliances,2671.0,100 - 500 DM,1 - 4 years,4.0,4.0,50.0,none,other,1.0,skilled,1.0,no,yes
unknown,18.0,good,furniture/appliances,2051.0,< 100 DM,< 1 year,4.0,1.0,33.0,none,own,1.0,skilled,1.0,no,no
